Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,wildfire sprinkler system,Wildfire sprinkler system,,,,,210,9,1.80,0.59,1180000,Commercial,"Site Links, Video, Related Searches, Image Pack","0.06,0.06,0.05,1.00,0.13,0.13,0.08,0.13,0.13,0.13,0.16,0.08",20,,
us,wildfire sprinkler system cost,Wildfire sprinkler system,,,,,210,27,3.27,0.52,378000,Commercial,"Related Searches, Image Pack, Site Links, Video, Adwords Bottom, Video Carousel, People Also Ask, Popular Products","0.03,0.03,0.03,1.00,0.16,0.10,0.10,0.10,0.13,0.16,0.13,0.10",20,,
us,wildfire sprinkler systems,Wildfire sprinkler system,,,,,30,11,2.88,0.52,1360000,Commercial,"Site Links, Video, Video Carousel, Popular Products, Related Searches","0.11,0.11,0.11,1.00,0.22,0.22,0.11,0.22,0.22,0.33,0.33,0.44",20,,
us,diy wildfire sprinkler system,Wildfire sprinkler system,,,,,50,14,1.90,0.40,31200,Informational,"Site Links, Video, Image, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Image Pack","0.07,0.07,0.07,1.00,0.15,0.26,0.19,0.11,0.19,0.19,0.11,0.07",20,,
us,outdoor fire sprinkler system,Wildfire sprinkler system,,,,fire,170,2,1.77,0.78,12200000,Commercial,"Image Pack, Video, Popular Products, Related Searches, AI Overview","0.02,0.11,0.02,1.00,0.17,0.14,0.14,0.11,0.09,0.11,0.11,0.09",90,,
us,outdoor fire suppression system,Wildfire sprinkler system,,,,fire,90,5,2.10,0.63,17700000,Informational,"Image Pack, Site Links, Video, Related Searches, AI Overview","0.22,0.06,0.04,1.00,0.14,0.10,0.14,0.14,0.08,0.10,0.10,0.06",20,,
us,home exterior fire sprinkler system,Wildfire sprinkler system,,,,fire,40,0,1.94,0.74,6200000,Commercial,"Popular Products, Related Searches, Image Pack, Video","0.07,0.07,0.07,1.00,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07",,,
us,exterior fire sprinkler systems,Wildfire sprinkler system,,,,fire,140,3,2.72,0.57,10,"Informational, Transactional","Video Carousel, People Also Ask, Popular Products, Related Searches, Image Pack, Video, Adwords Top","0.03,0.18,0.03,1.00,0.23,0.15,0.23,0.23,0.18,0.23,0.18,0.15",90,,
us,fire irrigation system,Wildfire sprinkler system,,,,fire,320,44,3.78,0.25,36800000,Transactional,"Image Pack, Site Links, Video Carousel, People Also Ask, Popular Products, Related Searches, Discussions And Forums, Local Pack, See Results About","0.16,0.01,0.05,0.03,0.05,0.04,0.04,0.03,0.36,0.03,0.04,0.03",20,,
us,home fire suppression system,Wildfire sprinkler system,,,,fire,320,42,1.84,0.92,51100000,Commercial,"People Also Ask, Popular Products, Related Searches, AI Overview, Image Pack, Site Links, Video","0.26,0.21,0.26,1.00,0.26,0.26,0.26,0.21,0.59,1.00,0.32,0.26",20,,
us,roof fire sprinkler system,Wildfire sprinkler system,,,,fire,320,5,1.57,0.74,10,Commercial,"Video Carousel, Popular Products, Related Searches, AI Overview, Image Pack, Site Links, Video","0.12,0.12,0.10,1.00,0.12,0.15,0.15,0.44,0.23,0.81,0.54,0.12",20,,
us,fire safety sprinkler systems,Wildfire sprinkler system,,,,fire,50,29,2.00,0.01,16800000,Informational,"Site Links, Video Carousel, People Also Ask, Related Searches, AI Overview, Local Pack","0.07,0.07,0.07,0.26,0.11,0.26,0.26,0.26,0.65,0.80,0.65,1.00",20,,
us,whole house fire sprinkler system,Wildfire sprinkler system,,,,fire,30,25,2.04,0.30,3160000,"Informational, Transactional","Site Links, Video, Popular Products, Related Searches, Image Pack","0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.27,0.27,0.18",20,,
us,roof fire sprinklers,Wildfire sprinkler system,,,,fire,590,7,1.94,0.78,9050000,"Informational, Transactional","Popular Products, Related Searches, Image Pack, Site Links, Video, Video Carousel, People Also Ask","0.03,0.04,0.03,1.00,0.13,0.07,0.07,0.05,0.08,0.04,0.10,0.07",20,,
us,home fire fighting system,Wildfire sprinkler system,,,,fire,40,31,1.10,1.00,315000000,Transactional,"Video, Popular Products, Related Searches, Discussions And Forums, Knowledge Panel, Image Pack, Site Links","0.00,0.03,0.03,1.00,0.09,0.12,0.06,0.03,0.03,0.00,0.03,0.00",20,,
us,fire and sprinkler systems,Wildfire sprinkler system,,,,fire,1600,50,4.26,0.26,26800000,Commercial,"Local Pack, Site Links, Video, Video Carousel, Related Searches","0.13,0.22,0.16,0.07,1.00,0.81,0.43,0.22,0.36,0.29,0.07,0.20",20,,
us,installation of fire sprinkler,Wildfire sprinkler system,,,,fire,1300,26,5.31,0.08,26100000,"Informational, Transactional","Local Pack, Video, Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview","0.00,0.04,0.13,0.03,0.29,0.29,0.36,0.54,1.00,0.01,0.07,0.36",90,,
